iter	Logloss
0	0.5930738843
1	0.5442945391
2	0.5059859051
3	0.4823612725
4	0.4734828314
5	0.4689831442
6	0.4633234594
7	0.4565686039
8	0.4477447517
9	0.4455605423
10	0.4430958349
11	0.4382337093
12	0.4371253994
13	0.4342719209
14	0.4335089114
15	0.4327115079
16	0.4317260337
17	0.4310008352
18	0.4300070637
19	0.4293717048
20	0.4233861695
21	0.4227778437
22	0.4222096323
23	0.42170899
24	0.4183953661
25	0.4180561781
26	0.417328194
27	0.4170548579
28	0.4160607651
29	0.4158681508
30	0.415436589
31	0.4149642873
32	0.4136766022
33	0.4116902841
34	0.4108228681
35	0.410492419
36	0.4101825793
37	0.4098513084
38	0.4071843243
39	0.4066452337
40	0.4062927296
41	0.4059156759
42	0.4026398769
43	0.4007665351
44	0.4000078097
45	0.3993741325
46	0.3990306443
47	0.3986307254
48	0.3981596959
49	0.3975714319
50	0.393994586
51	0.3933732212
52	0.3930119222
53	0.3913870599
54	0.3886712846
55	0.3880983878
56	0.3876881127
57	0.3850868576
58	0.3826087099
59	0.3823103671
60	0.3802424252
61	0.3779223437
62	0.3776842503
63	0.3771000411
64	0.3760767268
65	0.3757650004
66	0.3742616543
67	0.3724327365
68	0.3719164072
69	0.3699704425
70	0.3685191821
71	0.3673548963
72	0.3657636447
73	0.3645394149
74	0.3642541783
75	0.3629445686
76	0.3618625679
77	0.3603651475
78	0.3595276513
79	0.3580251919
80	0.3575276775
81	0.3573439964
82	0.3560328998
83	0.3548485315
84	0.35337595
85	0.3513317209
86	0.3504474658
87	0.3498593896
88	0.3487753007
89	0.3477196274
90	0.3469263957
91	0.3465982888
92	0.346422882
93	0.3460718048
94	0.345737757
95	0.3449227661
96	0.3447498701
97	0.344393027
98	0.3442480059
99	0.3440203287
