iter	Passed	Remaining
0	41	4080
1	61	3027
2	94	3070
3	113	2723
4	131	2498
5	150	2365
6	168	2232
7	187	2159
8	205	2082
9	225	2030
10	244	1976
11	262	1926
12	281	1881
13	298	1833
14	317	1796
15	334	1755
16	353	1725
17	371	1694
18	389	1658
19	406	1627
20	425	1599
21	443	1573
22	460	1541
23	490	1552
24	508	1526
25	526	1497
26	545	1474
27	563	1447
28	581	1423
29	596	1392
30	614	1366
31	633	1345
32	651	1321
33	668	1297
34	686	1274
35	703	1250
36	719	1225
37	737	1202
38	755	1182
39	773	1160
40	791	1138
41	807	1115
42	825	1094
43	843	1073
44	861	1052
45	879	1031
46	896	1011
47	915	992
48	934	972
49	954	954
50	972	934
51	990	914
52	1008	893
53	1026	874
54	1044	854
55	1061	833
56	1079	814
57	1097	794
58	1114	774
59	1132	754
60	1149	735
61	1167	715
62	1184	695
63	1204	677
64	1220	657
65	1240	639
66	1258	620
67	1277	601
68	1297	582
69	1316	564
70	1335	545
71	1352	526
72	1370	506
73	1390	488
74	1408	469
75	1426	450
76	1444	431
77	1462	412
78	1479	393
79	1497	374
80	1514	355
81	1531	336
82	1549	317
83	1568	298
84	1588	280
85	1607	261
86	1627	243
87	1644	224
88	1669	206
89	1694	188
90	1712	169
91	1739	151
92	1761	132
93	1779	113
94	1797	94
95	1815	75
96	1832	56
97	1850	37
98	1867	18
99	1885	0
