filename;section;text
001.rtf;common;Коммерческий агент относится к категории технических исполнителей
001.rtf;common;На должность коммерческого агента назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы
001.rtf;common;Назначение на должность коммерческого агента и освобождение от нее производится приказом директора предприятия
001.rtf;common;Коммерческий агент должен знать:
001.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, касающиеся ведения бизнеса
001.rtf;common;Основы рыночной экономики
001.rtf;common;Методы установления деловых контактов
001.rtf;common;Порядок оформления документов, связанных с куплей-продажей товаров и заключением договоров, соглашений и контрактов на оказание услуг
001.rtf;common;Основы трудового, финансового хозяйственного  и налогового законодательства
001.rtf;common;Действующие формы учета и отчетности
001.rtf;common;Организацию погрузочно-разгрузочных работ
001.rtf;common;Условия хранения и транспортировки товаров
001.rtf;common;Правила внутреннего трудового распорядка
001.rtf;common;Правила и нормы охраны труда.
001.rtf;common;Коммерческий агент подчиняется непосредственно
001.rtf;tasks;Коммерческий агент:
001.rtf;tasks;Участвует в работе по установлению необходимых деловых контактов между покупателями и продавцами товаров, включая техническую и другую продукцию (оборудование, сырье, полуфабрикаты и др), а также оказанию различных коммерческих услуг.
001.rtf;tasks;Содействует покупке и продаже партий товаров (оптом), а также театральной, музыкальной и других видов творческой продукции (постановка представлений, выступление артистов, спортсменов, издание книг, запись музыкальных произведений и др).
001.rtf;tasks;Обеспечивает надлежащее оформление заключаемых договоров и контрактов, других необходимых документов, в том числе страховых  и экспортных лицензий
001.rtf;tasks;Выполняет необходимую техническую работу при заключении соглашений, договоров и контрактов, размещении рекламы в средствах массовой информации
001.rtf;tasks;Организует предоставление транспортных средств и обеспечение выполнения других условий, предусмотренных заключенными соглашениями, договорами и контрактами, оказывает помощь в доставке товаров
001.rtf;rights;Коммерческий агент имеет право:
001.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности
001.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей
001.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями
001.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению
