;filename;section;text;light
0;001.rtf;position;АГЕНТ КОММЕРЧЕСКОГО;0.05
1;001.rtf;common;Коммерческий агент относится к категории технических исполнителей;0.02
2;001.rtf;common;На должность коммерческого агента назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;0.01
3;001.rtf;common;Назначение на должность коммерческого агента и освобождение от нее производится приказом директора предприятия;0.02
4;001.rtf;common;Коммерческий агент должен знать:;0.85
5;001.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, касающиеся ведения бизнеса;0.01
6;001.rtf;common;Основы рыночной экономики;0.02
7;001.rtf;common;Методы установления деловых контактов;0.02
8;001.rtf;common;Порядок оформления документов, связанных с куплей-продажей товаров и заключением договоров, соглашений и контрактов на оказание услуг;0.03
9;001.rtf;common;Основы трудового, финансового хозяйственного  и налогового законодательства;0.02
10;001.rtf;common;Действующие формы учета и отчетности;0.04
11;001.rtf;common;Организацию погрузочно-разгрузочных работ;0.02
12;001.rtf;common;Условия хранения и транспортировки товаров;0.03
13;001.rtf;common;Правила внутреннего трудового распорядка;0.02
14;001.rtf;common;Правила и нормы охраны труда.;0.02
15;001.rtf;common;Коммерческий агент подчиняется непосредственно;0.1
16;001.rtf;tasks;Коммерческий агент:;0.71
17;001.rtf;tasks;Участвует в работе по установлению необходимых деловых контактов между покупателями и продавцами товаров, включая техническую и другую продукцию (оборудование, сырье, полуфабрикаты и др), а также оказанию различных коммерческих услуг.;0.85
18;001.rtf;tasks;Содействует покупке и продаже партий товаров (оптом), а также театральной, музыкальной и других видов творческой продукции (постановка представлений, выступление артистов, спортсменов, издание книг, запись музыкальных произведений и др).;0.94
19;001.rtf;tasks;Обеспечивает надлежащее оформление заключаемых договоров и контрактов, других необходимых документов, в том числе страховых  и экспортных лицензий;0.89
20;001.rtf;tasks;Выполняет необходимую техническую работу при заключении соглашений, договоров и контрактов, размещении рекламы в средствах массовой информации;0.94
21;001.rtf;tasks;Организует предоставление транспортных средств и обеспечение выполнения других условий, предусмотренных заключенными соглашениями, договорами и контрактами, оказывает помощь в доставке товаров;0.95
22;001.rtf;rights;Коммерческий агент имеет право:;0.8
23;001.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;0.04
24;001.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;0.01
25;001.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;0.03
26;001.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0.02
27;001.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0.02
28;001.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации;0.01
29;001.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;0.03
30;001.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;0.03
31;002.rtf;position;АГЕНТ ПО ЗАКУПКАМ;0.05
32;002.rtf;common;Агент по закупкам относится к категории технических исполнителей;0.02
33;002.rtf;common;На должность агента по закупкам назначается лицо, имеющее среднее (полное) общее образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;0.01
34;002.rtf;common;Назначение на должность агента по закупкам и освобождение от нее;0.02
35;002.rtf;common;производится приказом директора предприятия по представлению;0.02
36;002.rtf;common;"(заведующего объектом торговли; заведующего объектом торговли; )";0.05
37;002.rtf;common;Агент по закупкам должен знать:;0.85
38;002.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, касающиеся порядка заключения договоров с поставщиками;0.01
39;002.rtf;common;Основы рыночной экономики;0.02
40;002.rtf;common;Основы трудового, финансового и хозяйственного законодательства;0.02
41;002.rtf;common;Методы делового общения;0.02
42;002.rtf;common;Методы и средства определения качества закупаемой продукции;0.02
43;002.rtf;common;Организацию погрузочно-разгрузочных работ;0.02
44;002.rtf;common;Правила и порядок приемки, отправки и сдачи продукции, заказа контейнеров и транспортных средств;0.03
45;002.rtf;common;Условия хранения и перевозки закупаемой продукции;0.03
46;002.rtf;common;Формы и порядок оформления приемосдаточных документов;0.02
47;002.rtf;common;Основы организации труда.;0.02
48;002.rtf;common;Правила внутреннего трудового распорядка.;0.02
49;002.rtf;common;Правила и нормы охраны труда.;0.02
50;002.rtf;common;Агент по закупкам подчиняется непосредственно (заведующему;0.18
51;002.rtf;common;"объектом торговли;заведующему складом объекта торговли; иному должностному";0.02
52;002.rtf;common;лицу);0.02
53;002.rtf;tasks;Агент по закупкам:;0.71
54;002.rtf;tasks;Осуществляет работу по закупке у населения сельскохозяйственной продукции собственного производства в соответствии с заключаемыми договорами, определяющими характер и объем поставок, а также их оплату;0.91
55;002.rtf;tasks;Выезжает в сельскохозяйственные районы, выявляет потенциальных поставщиков (продавцов) производимой ими продукции, заключает договоры купли-продажи;0.82
56;002.rtf;tasks;Проводит разъяснительную работу среди населения о порядке заключения договоров купли-продажи на обоюдно-выгодных условиях, принимает меры по установлению долгосрочных связей с производителями сельскохозяйственной продукции;0.91
57;002.rtf;tasks;Осуществляет контроль качества приобретаемой продукции;0.9
58;002.rtf;tasks;Оформляет в соответствии с установленным порядком документацию на издаваемую продукцию, заказывает контейнеры и транспортные средства для ее перевозки;0.85
59;002.rtf;tasks;Контролирует наличие необходимых приспособлений и санитарное состояние транспортных средств, предназначенных для перевозки, правильность проведения погрузочно-разгрузочных работ и рациональное размещение продукции;0.96
60;002.rtf;tasks;Отправляет закупленную продукцию в адрес поручителя, сопровождает грузы в пути следования, соблюдая санитарные требования и правила хранения продукции при транспортировке, содействует их своевременной доставке;0.92
61;002.rtf;tasks;Следит за соблюдением требований охраны труда при проведении погрузочно-разгрузочных работ;0.86
62;002.rtf;tasks;Сдает доставленную продукцию, оформляет установленную приемосдаточную документацию;0.79
63;002.rtf;rights;Агент по закупкам имеет право:;0.8
64;002.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;0.04
65;002.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;0.01
66;002.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;0.03
67;002.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;0.02
68;002.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;0.02
69;002.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией - в пределах, определенных действующим трудовым законодательством Российской Федерации;0.01
70;002.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности - в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;0.03
71;002.rtf;respons;За причинение материального ущерба - в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;0.03
72;003.rtf;position;АГЕНТ ПО ПРОДАЖЕ НЕДВИЖИМОСТИ;0.05
73;003.rtf;common;Агент по продаже недвижимости относится к категории технических исполнителей;0.02
74;003.rtf;common;На должность агента по продаже недвижимости назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;0.01
75;003.rtf;common;Назначение на должность агента по продаже недвижимости и освобождение от нее производится приказом директора предприятия;0.02
76;003.rtf;common;Агент по продаже недвижимости должен знать:;0.85
77;003.rtf;common;Нормативные правовые акты, положения инструкции, другие руководящие материалы и документы, регулирующие операции с недвижимостью;0.01
78;003.rtf;common;Агентства, работающие на рынке недвижимости, и виды оказываемых ими услуг;0.03
79;003.rtf;common;Основы рыночной экономики;0.02
80;003.rtf;common;Правила установления деловых контактов;0.02
81;003.rtf;common;Условия налогообложения юридических и физических лиц;0.03
82;003.rtf;common;Организацию осуществления операций с недвижимостью;0.02
83;003.rtf;common;Правила и порядок заключения договоров и оформления необходимых документов, связанных с куплей-продажей и арендой недвижимости;0.02
84;003.rtf;common;Методы анализа и порядок сбора, обработки и передачи информации о рынке недвижимости;0.02
85;003.rtf;common;Конъюнктуру рынка недвижимости;0.02
86;003.rtf;common;Основные требования стандартов, технических, качественных и других характеристик, предъявляемых к объектам недвижимости.;0.02
87;003.rtf;common;Порядок проведения осмотров и методы оценки объектов купли-продажи и аренды.;0.02
88;003.rtf;common;Действующие ценники и прейскуранты.;0.02
89;003.rtf;common;Организацию рекламной работы.;0.02
90;003.rtf;common;Приемы и методы делового общения, ведения переговоров.;0.02
91;003.rtf;common;Основы земельного и жилищного законодательства.;0.02
92;003.rtf;common;Основы экономики, психологии и трудового законодательства.;0.02
93;003.rtf;common;Правила и нормы охраны труда.;0.02
94;003.rtf;common;Агент по продаже недвижимости подчиняется непосредственно;0.1
95;003.rtf;tasks;Агент по продаже недвижимости:;0.71
96;003.rtf;tasks;Осуществляет работу по покупке, продаже или аренде недвижимости от имени и по поручению клиентов;0.88
97;003.rtf;tasks;Получает информацию о продаваемом или сдаваемом в аренду имуществе и о требованиях потенциальных покупателей или арендаторов;0.76
98;003.rtf;tasks;Изучает спрос и предложения на рынке недвижимости;0.87
99;003.rtf;tasks;Регистрирует поступающие предложения по продаже или передаче в аренду объектов недвижимости, проводит их ознакомительный осмотр;0.79
100;003.rtf;tasks;В отдельных случаях заключает эксклюзивные договоры между собственниками и агентством;0.71
