filename;section;text;light;techie
001.rtf;common;Коммерческий агент относится к категории технических исполнителей;False;0.5
001.rtf;common;На должность коммерческого агента назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;False;0.5
001.rtf;common;Назначение на должность коммерческого агента и освобождение от нее производится приказом директора предприятия;False;0.5
001.rtf;common;Коммерческий агент должен знать:;True;0.5
001.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, касающиеся ведения бизнеса;False;0.5
001.rtf;common;Основы рыночной экономики;False;0.5
001.rtf;common;Методы установления деловых контактов;False;0.5
001.rtf;common;Порядок оформления документов, связанных с куплейпродажей товаров и заключением договоров, соглашений и контрактов на оказание услуг;False;0.5
001.rtf;common;Основы трудового, финансового хозяйственного  и налогового законодательства;False;0.5
001.rtf;common;Действующие формы учета и отчетности;False;0.5
001.rtf;common;Организацию погрузочноразгрузочных работ;False;0.5
001.rtf;common;Условия хранения и транспортировки товаров;False;0.5
001.rtf;common;Правила внутреннего трудового распорядка;False;0.5
001.rtf;common;Правила и нормы охраны труда.;False;0.5
001.rtf;common;Коммерческий агент подчиняется непосредственно;False;0.5
001.rtf;tasks;Коммерческий агент:;True;0.5
001.rtf;tasks;Участвует в работе по установлению необходимых деловых контактов между покупателями и продавцами товаров, включая техническую и другую продукцию (оборудование, сырье, полуфабрикаты и др), а также оказанию различных коммерческих услуг.;True;0.5
001.rtf;tasks;Содействует покупке и продаже партий товаров (оптом), а также театральной, музыкальной и других видов творческой продукции (постановка представлений, выступление артистов, спортсменов, издание книг, запись музыкальных произведений и др).;True;0.5
001.rtf;tasks;Обеспечивает надлежащее оформление заключаемых договоров и контрактов, других необходимых документов, в том числе страховых  и экспортных лицензий;True;0.5
001.rtf;tasks;Выполняет необходимую техническую работу при заключении соглашений, договоров и контрактов, размещении рекламы в средствах массовой информации;True;0.5
001.rtf;tasks;Организует предоставление транспортных средств и обеспечение выполнения других условий, предусмотренных заключенными соглашениями, договорами и контрактами, оказывает помощь в доставке товаров;True;0.5
001.rtf;rights;Коммерческий агент имеет право:;True;0.5
001.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;False;0.5
001.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;False;0.5
001.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;False;0.5
001.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;False;0.5
001.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;False;0.5
001.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией  в пределах, определенных действующим трудовым законодательством Российской Федерации;False;0.5
001.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности  в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;False;0.5
001.rtf;respons;За причинение материального ущерба  в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;False;0.5
002.rtf;common;Агент по закупкам относится к категории технических исполнителей;False;0.5
002.rtf;common;На должность агента по закупкам назначается лицо, имеющее среднее (полное) общее образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;False;0.5
002.rtf;common;Назначение на должность агента по закупкам и освобождение от нее;False;0.5
002.rtf;common;производится приказом директора предприятия по представлению;False;0.5
002.rtf;common;"(заведующего объектом торговли; заведующего объектом торговли; )";False;0.5
002.rtf;common;Агент по закупкам должен знать:;True;0.5
002.rtf;common;Нормативные правовые акты, положения, инструкции, другие руководящие материалы и документы, касающиеся порядка заключения договоров с поставщиками;False;0.5
002.rtf;common;Основы рыночной экономики;False;0.5
002.rtf;common;Основы трудового, финансового и хозяйственного законодательства;False;0.5
002.rtf;common;Методы делового общения;False;0.5
002.rtf;common;Методы и средства определения качества закупаемой продукции;False;0.5
002.rtf;common;Организацию погрузочноразгрузочных работ;False;0.5
002.rtf;common;Правила и порядок приемки, отправки и сдачи продукции, заказа контейнеров и транспортных средств;False;0.5
002.rtf;common;Условия хранения и перевозки закупаемой продукции;False;0.5
002.rtf;common;Формы и порядок оформления приемосдаточных документов;False;0.5
002.rtf;common;Основы организации труда.;False;0.5
002.rtf;common;Правила внутреннего трудового распорядка.;False;0.5
002.rtf;common;Правила и нормы охраны труда.;False;0.5
002.rtf;common;Агент по закупкам подчиняется непосредственно;False;0.5
002.rtf;common;(заведующему;False;0.5
002.rtf;common;"объектом торговли;заведующему складом объекта торговли; иному должностному";False;0.5
002.rtf;common;лицу);False;0.5
002.rtf;tasks;Агент по закупкам:;True;0.5
002.rtf;tasks;Осуществляет работу по закупке у населения сельскохозяйственной продукции собственного производства в соответствии с заключаемыми договорами, определяющими характер и объем поставок, а также их оплату;True;0.5
002.rtf;tasks;Выезжает в сельскохозяйственные районы, выявляет потенциальных поставщиков (продавцов) производимой ими продукции, заключает договоры куплипродажи;True;0.5
002.rtf;tasks;Проводит разъяснительную работу среди населения о порядке заключения договоров куплипродажи на обоюдно-выгодных условиях, принимает меры по установлению долгосрочных связей с производителями сельскохозяйственной продукции;True;0.5
002.rtf;tasks;Осуществляет контроль качества приобретаемой продукции;True;0.5
002.rtf;tasks;Оформляет в соответствии с установленным порядком документацию на издаваемую продукцию, заказывает контейнеры и транспортные средства для ее перевозки;True;0.5
002.rtf;tasks;Контролирует наличие необходимых приспособлений и санитарное состояние транспортных средств, предназначенных для перевозки, правильность проведения погрузочноразгрузочных работ и рациональное размещение продукции;True;0.5
002.rtf;tasks;Отправляет закупленную продукцию в адрес поручителя, сопровождает грузы в пути следования, соблюдая санитарные требования и правила хранения продукции при транспортировке, содействует их своевременной доставке;True;0.5
002.rtf;tasks;Следит за соблюдением требований охраны труда при проведении погрузочноразгрузочных работ;True;0.5
002.rtf;tasks;Сдает доставленную продукцию, оформляет установленную приемосдаточную документацию;True;0.5
002.rtf;rights;Агент по закупкам имеет право:;True;0.5
002.rtf;rights;Знакомиться с проектами решений руководства предприятия, касающихся его деятельности;False;0.5
002.rtf;rights;Запрашивать лично или по поручению непосредственного руководителя от руководителей подразделений предприятия и специалистов информацию и документы, необходимые для выполнения его должностных обязанностей;False;0.5
002.rtf;rights;Вносить на рассмотрение руководства предложения по совершенствованию работы, связанной с предусмотренными настоящей инструкцией обязанностями;False;0.5
002.rtf;rights;В пределах своей компетенции сообщать своему непосредственному руководителю о всех выявленных в процессе своей деятельности недостатках и вносить предложения по их устранению;False;0.5
002.rtf;rights;Требовать от руководства предприятия оказания содействия в исполнении им его должностных обязанностей и прав;False;0.5
002.rtf;respons;За ненадлежащее исполнение или неисполнение своих должностных обязанностей, предусмотренных настоящей должностной инструкцией  в пределах, определенных действующим трудовым законодательством Российской Федерации;False;0.5
002.rtf;respons;За правонарушения, совершенные в процессе осуществления своей деятельности  в пределах, определенных действующим административным, уголовным и гражданским законодательством Российской Федерации;False;0.5
002.rtf;respons;За причинение материального ущерба  в пределах, определенных действующим трудовым и гражданским законодательством Российской Федерации;False;0.5
003.rtf;common;Агент по продаже недвижимости относится к категории технических исполнителей;False;0.5
003.rtf;common;На должность агента по продаже недвижимости назначается лицо, имеющее среднее профессиональное образование и специальная подготовка по установленной программе без предъявления требований к стажу работы;False;0.5
003.rtf;common;Назначение на должность агента по продаже недвижимости и освобождение от нее производится приказом директора предприятия;False;0.5
003.rtf;common;Агент по продаже недвижимости должен знать:;True;0.5
